market_id,market,countryiso3,admin1,admin2,latitude,longitude
952,Lucknow,IND,Uttar Pradesh,Lucknow,26.85,80.92
953,Ludhiana,IND,Punjab,Ludhiana,30.9,75.85
954,Mandi,IND,Himachal Pradesh,Mandi,31.72,76.92
955,Mumbai,IND,Maharashtra,Mumbai city,18.98,72.83
956,Nagpur,IND,Maharashtra,Bid,18.87,76.43
957,Patna,IND,Bihar,Patna,25.6,85.12
958,Raipur,IND,Maharashtra,Amravati,21.58,77.27
959,Rajkot,IND,Gujarat,Rajkot,22.3,70.78
960,Ranchi,IND,Jharkhand,Ranchi,23.35,85.33
961,Sambalpur,IND,Orissa,Sambalpur,21.45,83.97
962,Shillong,IND,Meghalaya,East Khasi Hills,25.58,91.87
963,Shimla,IND,Himachal Pradesh,Shimla,31.1,77.17
964,Siliguri,IND,West Bengal,Darjiling,26.72,88.42
966,T.Puram,IND,Kerala,Thiruvananthapuram,8.51,76.96
967,Thiruchirapalli,IND,Tamil Nadu,Tiruchchirappalli,10.8,78.69
968,Tiruvanantapuram,IND,Kerala,Thiruvananthapuram,8.51,76.96
969,Trivandrum,IND,Kerala,Thiruvananthapuram,8.51,76.96
970,Varanasi,IND,Uttar Pradesh,Varanasi,25.33,83
971,Vijaywada,IND,Andhra Pradesh,Krishna,16.51,80.64
973,Bathinda,IND,Punjab,Bathinda,30.2,74.95
1392,Port Blair,IND,Andaman and Nicobar,Andaman Islands,11.67,92.75
1393,Panaji,IND,Goa,North Goa,15.48,73.83
1394,Puducherry,IND,Puducherry,Puducherry,11.92,79.73
1779,Gurgaon,IND,Haryana,Gurgaon,28.46,77.03
1780,Gwalior,IND,Madhya Pradesh,Gwalior,26.22,78.18
1781,Kozhikode,IND,Kerala,Kozhikode,11.26,75.78
1782,Panchkula,IND,Haryana,Panchkula,30.69,76.86
1783,Rourkela,IND,Orissa,Sundargarh,22.26,84.85
1785,Jabalpur,IND,Madhya Pradesh,Jabalpur,23.18,79.99
1887,National Average,IND,,,,
4648,Adilabad,IND,Telangana,Adilabad,19.67,78.53
4649,Allahabad,IND,Uttar Pradesh,Kaushambi,25.45,81.85
4650,Ambikapur,IND,Chhattisgarh,Surguja,23.12,83.2
4651,Balasore,IND,Orissa,Baleshwar,21.49,86.91
4652,Berhampur,IND,Orissa,Ganjam,19.31,84.79
4653,Bhuj,IND,Gujarat,Kachchh,23.24,69.67
4654,Bilaspur,IND,Chhattisgarh,Bilaspur,22.08,82.14
4655,Coimbatore,IND,Tamil Nadu,Coimbatore,11.02,76.96
4656,Cuddalore,IND,Tamil Nadu,Cuddalore,11.75,79.77
4657,Darbhanga,IND,Bihar,Darbhanga,26.15,85.89
4658,Dharamshala,IND,Himachal Pradesh,Kangra,32.22,76.32
4659,Dharmapuri,IND,Tamil Nadu,Dharmapuri,12.12,78.16
4660,Durg,IND,Chhattisgarh,Durg,21.2,81.29
4661,Gangtok,IND,Sikkim,East,27.33,88.61
4662,Gorakhpur,IND,Uttar Pradesh,Gorakhpur,26.76,83.37
4663,Haldwani,IND,Uttarakhand,Naini Tal,29.22,79.51
4664,Haridwar,IND,Uttarakhand,Haridwar,29.95,78.16
4665,Imphal,IND,Manipur,West Imphal,24.82,93.94
4666,Jadcherla,IND,Telangana,Mahbubnagar,16.76,78.14
4667,Jagdalpur,IND,Chhattisgarh,Bastar,19.09,82.02
4668,Jeypore,IND,Orissa,Koraput,18.86,82.57
4669,Jhansi,IND,Uttar Pradesh,Jhansi,25.46,78.57
4670,Jowai,IND,Meghalaya,Jaintia Hills,25.45,92.2
4671,Karimnagar,IND,Telangana,Karimnagar,18.44,79.13
4672,Kharagpur,IND,West Bengal,West Midnapore,22.34,87.23
4673,Kurnool,IND,Andhra Pradesh,Kurnool,15.83,78.04
4674,Malda,IND,West Bengal,Maldah,25.01,88.14
4675,Mangalore,IND,Karnataka,Dakshin Kannad,12.91,74.86
4676,Mayabunder,IND,Andaman and Nicobar,Andaman Islands,12.91,92.9
4677,Meerut,IND,Uttar Pradesh,Meerut,28.99,77.71
4678,Muzzafarpur,IND,Bihar,Muzaffarpur,26.12,85.39
4679,Mysore,IND,Karnataka,Mysore,12.3,76.64
4680,Nashik,IND,Maharashtra,Nashik,19.97,73.82
4681,Palakkad,IND,Kerala,Palakkad,10.76,76.66
4682,Purnia,IND,Bihar,Purnia,25.78,87.48
4683,Purulia,IND,West Bengal,Puruliya,23.33,86.36
4684,Raiganj,IND,West Bengal,Uttar Dinajpur,25.63,88.13
4685,Ramanathapuram,IND,Tamil Nadu,Ramanathapuram,9.36,78.84
4686,Rampurhat,IND,West Bengal,Birbhum,24.17,87.78
4687,Rewa,IND,Madhya Pradesh,Rewa,24.54,81.29
4688,Rudrapur,IND,Uttarakhand,Udham Singh Nagar,28.99,79.41
4689,Sagar,IND,Madhya Pradesh,Sagar,23.84,78.74
4690,Solan,IND,Himachal Pradesh,Solan,30.91,77.1
4691,Surat,IND,Gujarat,Surat,21.17,72.83
4692,Suryapet,IND,Telangana,Nalgonda,17.14,79.62
4693,Thrissur,IND,Kerala,Thrissur,10.53,76.21
4694,Tirunelveli,IND,Tamil Nadu,Tirunelveli Kattabo,8.71,77.76
4695,Tirupathi,IND,Andhra Pradesh,Chittoor,13.63,79.42
4696,Tura,IND,Meghalaya,West Garo Hills,25.51,90.2
4697,Udaipur,IND,Rajasthan,Udaipur,24.59,73.71
4698,Vellore,IND,Tamil Nadu,Vellore,12.92,79.13
4699,Visakhapatnam,IND,Andhra Pradesh,Vishakhapatnam,17.69,83.22
4700,Warangal,IND,Telangana,Warangal,17.97,79.59
4701,Wayanad,IND,Kerala,Wayanad,11.7,76.08
4749,Bihar_Gaya,IND,Bihar,Gaya,24.79,85
4750,Maharashtra_Pune,IND,Maharashtra,Pune,18.52,73.86
5068,Una,IND,Himachal Pradesh,Una,31.47,76.27
5069,Jhabua,IND,Madhya Pradesh,Jhabua,22.77,74.59
5070,Hoshangabad,IND,Madhya Pradesh,Hoshangabad,22.75,77.72
5071,Shahdol,IND,Madhya Pradesh,Shahdol,23.3,81.36
5072,Ujjain,IND,Madhya Pradesh,Ujjain,23.18,75.79
5073,Baripada,IND,Orissa,Mayurbhanj,21.93,86.73
5074,Balangir,IND,Orissa,Bolangir,20.7,83.49
5673,Gumla,IND,Jharkhand,Gumla,23.04,84.54
5674,Sahibganj,IND,Jharkhand,Sahibganj,25.24,87.63
5675,Bokaro,IND,Jharkhand,Bokaro,23.67,86.15
5676,Lohardaga,IND,Jharkhand,Lohardaga,23.43,84.68
5677,Simdega,IND,Jharkhand,Simdega,22.61,84.5
5678,Bengaluru (east range),IND,Karnataka,Bangalore Urban,12.99,77.71
5679,Belagavi,IND,Karnataka,Belgaum,15.86,74.51
5680,Kalaburagi,IND,Karnataka,Gulbarga,17.33,76.83
5681,Tumakuru,IND,Karnataka,Tumkur,13.34,77.1
5682,Bellary,IND,Karnataka,Tumkur,13.14,76.92
5683,Dhavanagere,IND,Karnataka,Davanagere,14.46,75.92
5684,Shivamogga,IND,Karnataka,Shimoga,13.93,75.57
5685,Vijayapur,IND,Karnataka,Bijapur,16.83,75.72
5898,Bilaspur-hp,IND,Himachal Pradesh,Bilaspur,31.34,76.76
5899,Bharatpur,IND,Rajasthan,Bharatpur,27.22,77.5
5900,Bikaner,IND,Rajasthan,Bikaner,28.02,73.32
5901,Saran,IND,Bihar,Saran,25.78,84.75
5902,Munger,IND,Bihar,Munger,25.38,86.47
5903,Saharsa,IND,Bihar,Saharsa,25.88,86.59
5904,Madhubani,IND,Bihar,Madhubani,26.36,86.07
5905,Rohtas (sasaram),IND,Bihar,Rohtas,24.95,84.01
5906,Motihari,IND,Bihar,Purba Champaran,26.64,84.9
5907,Samastipur,IND,Bihar,Samastipur,25.86,85.79
5908,Katihar,IND,Bihar,Katihar,25.54,87.57
5909,Araria,IND,Bihar,Araria,26.13,87.47
5910,Nawada,IND,Bihar,Nawada,24.89,85.54
5911,Khagaria,IND,Bihar,Khagaria,25.51,86.48
6007,Bareilly,IND,Uttar Pradesh,Bareilly,28.36,79.43
6008,Moradabad,IND,Uttar Pradesh,Moradabad,28.84,78.77
6009,Aligarh,IND,Uttar Pradesh,Aligarh,27.88,78.07
6010,Morena,IND,Madhya Pradesh,Morena,26.49,77.98
6011,Ajmer,IND,Rajasthan,Ajmer,26.46,74.64
6080,Ayodhya,IND,Uttar Pradesh,Faizabad,26.79,82.2
6082,Saharanpur,IND,Uttar Pradesh,Saharanpur,29.96,77.54
6083,Mirzapur (vindhyanchal),IND,Uttar Pradesh,Mirzapur,25.16,82.5
6105,Chamba,IND,Himachal Pradesh,Chamba,32.55,76.13
6106,Waghai,IND,Gujarat,The Dangs,20.77,73.5
6107,Vapi,IND,Gujarat,Valsad,20.38,72.92
6108,Mangaon-raigad,IND,Maharashtra,Raigarh,18.24,73.28
6161,Dantewada,IND,Chhattisgarh,Dantewada,18.89,81.35
6162,Selamba,IND,Gujarat,Narmada,21.52,73.82
6163,Bodeli,IND,Gujarat,Vadodara,22.27,73.72
6164,Dhanbad,IND,Jharkhand,Dhanbad,23.8,86.43
6165,Jamshedpur,IND,Jharkhand,Purba Singhbhum,22.81,86.21
6369,Hamirpur,IND,Himachal Pradesh,Hamirpur,31.69,76.52
6370,Azamgarh,IND,Uttar Pradesh,Azamgarh,26.07,83.19
6371,Kottayam,IND,Kerala,Kottayam,9.59,76.52
6372,Pathanamthitta,IND,Kerala,Pattanamtitta,9.27,76.79
9638,North Zone,IND,Rajasthan,Jaipur,26.94,75.8
9639,West Zone,IND,Maharashtra,Thane,19.47,72.85
9640,East Zone,IND,Orissa,Dhenkanal,20.67,85.86
9641,South Zone,IND,Karnataka,Bangalore Rural,13.2,77.63
9642,North-East Zone,IND,Assam,Darrang,26.42,91.81
